"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"12/15/2025","Buy","MSTY","YIELDMAX MSTR OPTION INCOME ETF","100","$31.76","","-$3176.00"
"12/15/2025","Buy","SCHB","SCHWAB US BROAD MARKET ETF","20","$26.16","","-$523.20"
"01/30/2026","Cash Dividend","MSTY","YIELDMAX MSTR OPTION INCOME ETF","","","","$90.00"
"01/30/2026","NRA Tax Adj","MSTY","YIELDMAX MSTR OPTION INCOME ETF","","","","-$27.00"
"02/27/2026","Cash Dividend","MSTY","YIELDMAX MSTR OPTION INCOME ETF","","","","$82.00"
"02/27/2026","NRA Tax Adj","MSTY","YIELDMAX MSTR OPTION INCOME ETF","","","","-$24.60"
"03/31/2026","Cash Dividend","MSTY","YIELDMAX MSTR OPTION INCOME ETF","","","","$74.00"
"03/31/2026","NRA Tax Adj","MSTY","YIELDMAX MSTR OPTION INCOME ETF","","","","-$22.20"
"04/30/2026","Cash Dividend","MSTY","YIELDMAX MSTR OPTION INCOME ETF","","","","$66.00"
"04/30/2026","NRA Tax Adj","MSTY","YIELDMAX MSTR OPTION INCOME ETF","","","","-$19.80"
"05/29/2026","Cash Dividend","MSTY","YIELDMAX MSTR OPTION INCOME ETF","","","","$58.00"
"05/29/2026","NRA Tax Adj","MSTY","YIELDMAX MSTR OPTION INCOME ETF","","","","-$17.40"
"06/30/2026","Cash Dividend","MSTY","YIELDMAX MSTR OPTION INCOME ETF","","","","$50.00"
"06/30/2026","NRA Tax Adj","MSTY","YIELDMAX MSTR OPTION INCOME ETF","","","","-$15.00"
"07/31/2026","Cash Dividend","MSTY","YIELDMAX MSTR OPTION INCOME ETF","","","","$42.00"
"07/31/2026","NRA Tax Adj","MSTY","YIELDMAX MSTR OPTION INCOME ETF","","","","-$12.60"
"03/31/2026","Qualified Dividend","SCHB","SCHWAB US BROAD MARKET ETF","","","","$2.40"
"03/31/2026","NRA Tax Adj","SCHB","SCHWAB US BROAD MARKET ETF","","","","-$0.72"
"06/30/2026","Qualified Dividend","SCHB","SCHWAB US BROAD MARKET ETF","","","","$2.50"
"06/30/2026","NRA Tax Adj","SCHB","SCHWAB US BROAD MARKET ETF","","","","-$0.75"
